,sar上涨形成趋势,sar上涨停滞趋势,sar下跌形成趋势,sar下跌停滞趋势,平均比--上涨形成,平均比--上涨停滞,平均比--下跌形成,平均比--下跌停滞,趋势类型,趋势类型(加权
2006-12,353,388,165,144,1.5011833444271874,1.6748620547276754,0.7035073409461664,0.4153030132039273,1,1
2007-01,433,341,100,175,1.8413948672435472,1.471979280057055,0.426368085421919,0.5047085229908839,0,1
2007-02,843,63,2,125,3.584978921677391,0.27194925115423596,0.00852736170843838,0.3605060878506314,0,0
2007-03,835,150,1,41,3.550957769395755,0.6474982170338951,0.00426368085421919,0.1182459968150071,0,0
2007-04,851,180,1,6,3.6190000739590267,0.7769978604406742,0.00426368085421919,0.017304292216830306,0,1
2007-05,991,54,1,5,4.214370238887656,0.23309935813220226,0.00426368085421919,0.014420243514025256,0,0
2007-06,505,514,3,1,2.1475852377782707,2.2187605570361475,0.01279104256265757,0.002884048702805051,1,1
2007-07,87,840,90,1,0.3699800310627912,3.625990015389813,0.38373127687972713,0.002884048702805051,1,1
2007-08,595,137,212,86,2.530323200946676,0.5913817048909575,0.9039003410944684,0.2480281884412344,0,1
2007-09,514,267,29,220,2.1858590340951114,1.1525468263203333,0.12364674477235651,0.6344907146171113,0,1
2007-10,381,444,85,111,1.6202573774129132,1.9165947224203297,0.3624128726086312,0.32012940601136064,1,1
2007-11,85,554,355,22,0.36147474299238225,2.3914267482451863,1.5136067032478127,0.06344907146171112,1,1
2007-12,72,373,421,147,0.30619037053472375,1.6101122330242859,1.7950096396262791,0.4239551593123425,2,1
2008-01,433,24,29,529,1.8413948672435472,0.10359971472542322,0.12364674477235651,1.5256617637838719,0,0
2008-02,199,333,380,102,0.8462761630056949,1.4374460418152473,1.6201987246032923,0.29417296768611517,2,1
2008-03,383,120,108,412,1.6287626654833223,0.5179985736271161,0.46047753225567256,1.188228065555681,0,1
2008-04,41,275,678,26,0.17435840544338438,1.187080064562141,2.890775619160611,0.07498526627293133,2,1
2008-05,50,67,617,283,0.21263220176022485,0.28921587027513984,2.6306910870532403,0.8161857828938294,2,2
2008-06,51,79,434,443,0.21688484579542933,0.34101572763785143,1.8504374907311285,1.2776335753426376,2,2
2008-07,5,62,928,28,0.021263220176022484,0.26763259637401,3.9566958327154085,0.08075336367854143,2,2
2008-08,40,27,50,924,0.17010576140817987,0.11654967906610113,0.2131840427109595,2.664861001391867,3,3
2008-09,1,21,907,122,0.004252644035204497,0.09064975038474532,3.867158534776806,0.35185394174221624,2,2
2008-10,3,11,338,699,0.01275793210561349,0.047483202582485645,1.4411241287260863,2.0159500432607307,3,2
2008-11,1,7,740,304,0.004252644035204497,0.030216583461581775,3.155123832122201,0.8767508056527354,2,2
2008-12,9,2,7,1031,0.03827379631684047,0.008633309560451935,0.029845765979534332,2.9734542125920074,3,3
2009-01,10,4,25,1014,0.04252644035204497,0.01726661912090387,0.10659202135547975,2.9244253846443216,3,3
2009-02,31,6,15,1005,0.1318319650913394,0.025899928681355804,0.06395521281328785,2.8984689463190763,3,3
2009-03,208,20,15,818,0.8845499593225353,0.08633309560451935,0.06395521281328785,2.359151838894532,3,3
2009-04,369,7,1,687,1.5692256489904592,0.030216583461581775,0.00426368085421919,1.98134145882707,3,3
2009-05,523,165,53,323,2.2241328304119516,0.7122480387372847,0.2259750852736171,0.9315477310060315,0,1
2009-06,571,247,17,227,2.428259744101768,1.066213730715814,0.07248257452172624,0.6546790555367465,0,1
2009-07,579,329,26,128,2.4622808963834037,1.4201794226943434,0.11085570220969895,0.3691582339590465,0,1
2009-08,839,176,3,51,3.5679683455365727,0.7597312413197703,0.01279104256265757,0.14708648384305759,0,1
2009-09,80,951,32,4,0.34021152281635975,4.105138695994896,0.13643778733501408,0.011536194811220203,1,1
2009-10,354,679,11,24,1.5054359884623918,2.931008595773432,0.046900489396411095,0.06921716886732122,1,1
2009-11,826,211,0,32,3.5126839730789143,0.9108141586276792,0.0,0.09228955848976163,0,1
2009-12,858,190,1,18,3.6487685822054585,0.8201644082429339,0.00426368085421919,0.051912876650490915,0,1
2010-01,333,723,8,7,1.4161304637230974,3.1209414061033747,0.03410944683375352,0.020188340919635357,1,1
2010-02,197,822,44,6,0.8377708749352859,3.5482902293457452,0.18760195758564438,0.017304292216830306,1,1
2010-03,536,444,40,48,2.2794172028696105,1.9165947224203297,0.1705472341687676,0.13843433773464245,0,1
2010-04,387,596,18,69,1.6457732416241402,2.5727262490146767,0.07674625537594543,0.19899936049354852,1,1
2010-05,172,682,207,5,0.7314547740551735,2.94395856011411,0.8825819368233724,0.014420243514025256,1,1
2010-06,51,387,605,15,0.21688484579542933,1.6705453999474495,2.5795269168026103,0.04326073054207576,2,1
2010-07,21,239,708,91,0.08930552473929443,1.0316804924740062,3.0186860447871866,0.26244843195525963,2,2
2010-08,156,19,100,783,0.6634124694919015,0.08201644082429338,0.426368085421919,2.258210134296355,3,3
2010-09,197,50,73,733,0.8377708749352859,0.21583273901129837,0.3112487023580009,2.1140076991561023,3,3
2010-10,236,117,253,447,1.0036239923082613,0.5050486092864382,1.0787112561174552,1.2891697701538578,3,1
2010-11,345,129,79,504,1.4671621921455513,0.5568484666491498,0.336830787483316,1.4535605462137458,0,1
2010-12,373,277,271,135,1.5862362251312774,1.1957133741225932,1.1554575114934005,0.3893465748786819,0,1
2011-01,192,453,248,161,0.8165076547592633,1.9554446154423633,1.0573928518463591,0.4643318411516132,1,1
2011-02,128,461,267,197,0.5443384365061756,1.989977853684171,1.1384027880765237,0.5681575944525951,1,1
2011-03,565,56,14,420,2.402743879890541,0.2417326676926542,0.059691531959068664,1.2113004551781215,0,0
2011-04,300,380,133,237,1.275793210561349,1.6403288164858678,0.5670695536111523,0.6835195425647971,1,1
2011-05,233,473,200,142,0.9908660602026478,2.041777711046883,0.852736170843838,0.40953491579831725,1,1
2011-06,90,502,399,55,0.3827379631684047,2.1669606996734356,1.701208660833457,0.15862267865427782,1,1
2011-07,293,230,198,324,1.2460247023149176,0.9928305994519726,0.8442088091353996,0.9344317797088365,0,1
2011-08,202,328,189,327,0.8590340951113083,1.4158627679141174,0.805835681447427,0.9430839258172516,1,1
2011-09,96,332,435,186,0.4082538273796317,1.4331293870350212,1.8547011715853479,0.5364330587217395,2,1
2011-10,18,240,722,76,0.07654759263368094,1.0359971472542322,3.0783775767462553,0.21918770141318386,2,2
2011-11,104,72,213,671,0.44227497966126766,0.3107991441762697,0.9081640219486875,1.935196679582189,3,3
2011-12,64,101,533,358,0.2721692182530878,0.4359821328028227,2.2725418952988283,1.0324894356042082,2,2
2012-01,7,64,870,114,0.02976850824643148,0.27626590593446193,3.7094023431706957,0.32878155211977583,2,2
2012-02,20,29,146,864,0.08505288070408994,0.12518298862655305,0.6224974047160018,2.491818079223564,3,3
2012-03,72,2,2,978,0.30619037053472375,0.008633309560451935,0.00852736170843838,2.82059963134334,3,3
2012-04,78,62,618,300,0.33170623474595073,0.26763259637401,2.6349547679074594,0.8652146108415153,2,2
2012-05,180,35,46,801,0.7654759263368094,0.15108291730790888,0.19612931929408275,2.310123010946846,3,3
2012-06,177,111,193,576,0.7527179942311959,0.4791486806050824,0.8228904048643038,1.6612120528157093,3,1
2012-07,72,223,573,196,0.30619037053472375,0.9626140159903908,2.4430891294675963,0.5652735457497899,2,2
2012-08,64,227,617,158,0.2721692182530878,0.9798806351112946,2.6306910870532403,0.45567969504319805,2,2
2012-09,133,150,197,584,0.5656016566821981,0.6474982170338951,0.8399451282811805,1.6842844424381498,3,1
2012-10,128,138,146,656,0.5443384365061756,0.5956983596711836,0.6224974047160018,1.8919359490401135,3,1
2012-11,139,156,151,620,0.5911175208934251,0.6733981457152509,0.6438158089870978,1.7881101957391317,3,1
2012-12,45,190,665,171,0.19136898158420235,0.8201644082429339,2.8353477680557617,0.4931723281796637,2,2
2013-01,284,4,18,763,1.207750905998077,0.01726661912090387,0.07674625537594543,2.200529160240254,3,3
2013-02,400,95,44,524,1.7010576140817988,0.41008220412146695,0.18760195758564438,1.5112415202698466,0,1
