,Macd连涨趋势,Macd连跌趋势,平均比--Macd连涨趋势,平均比--Macd连跌趋势,趋势类型
2011-09,162,658,0.3707093821510298,1.7034544083383045,1.0
2011-10,41,823,0.09382151029748284,2.130612428666299,0.0
2011-11,42,924,0.09610983981693363,2.392084913836768,0.0
2011-12,64,896,0.14645308924485126,2.319597492205351,0.0
2012-01,24,930,0.05491990846681922,2.4076179327577862,0.0
2012-02,34,984,0.07780320366132723,2.547415103046948,0.0
2012-03,59,801,0.13501144164759726,2.0736580259558997,0.0
2012-04,109,745,0.2494279176201373,1.9286831826930653,1.0
2012-05,146,555,0.3340961098398169,1.4368042501941627,2.0
2012-06,406,446,0.9290617848970252,1.1546210731290028,4.0
2012-07,242,492,0.5537757437070938,1.273707551523474,3.0
2012-08,131,757,0.2997711670480549,1.9597492205351013,1.0
2012-09,106,804,0.2425629290617849,2.0814245354164087,1.0
2012-10,163,719,0.37299771167048057,1.8613734340353207,1.0
2012-11,230,622,0.5263157894736842,1.6102562948121968,2.0
2012-12,139,660,0.3180778032036613,1.7086320813119773,1.0
2013-01,168,325,0.38443935926773454,0.8413718582218069,3.0
2013-02,711,127,1.6270022883295194,0.3287822338282138,7.0
2013-03,883,85,2.0205949656750573,0.22005110138108797,8.0
2013-04,696,94,1.5926773455377574,0.24335062976261493,7.0
2013-05,541,292,1.2379862700228832,0.7559402541562081,5.0
2013-06,580,143,1.3272311212814645,0.37020361761759507,7.0
2013-07,284,149,0.6498855835240275,0.38573663653861306,5.0
2013-08,255,578,0.5835240274599542,1.4963474893913982,3.0
2013-09,431,242,0.9862700228832952,0.6264984298143916,5.0
2013-10,754,179,1.7254004576659039,0.4634017311437029,7.0
2013-11,685,186,1.5675057208237986,0.48152358655155725,6.0
2013-12,700,183,1.6018306636155606,0.47375707709104825,6.0
2014-01,666,188,1.5240274599542334,0.48670125952522986,6.0
2014-02,491,323,1.1235697940503433,0.8361941852481343,5.0
2014-03,486,355,1.1121281464530892,0.9190369528268969,4.0
2014-04,544,292,1.2448512585812357,0.7559402541562081,5.0
2014-05,500,337,1.1441647597254005,0.8724378960638429,4.0
2014-06,474,378,1.0846681922196797,0.9785801920241324,4.0
2014-07,509,317,1.1647597254004576,0.8206611663271164,5.0
2014-08,614,148,1.4050343249427917,0.38314780005177673,7.0
2014-09,823,88,1.8832951945080092,0.22781761084159696,8.0
2014-10,882,31,2.0183066361556063,0.0802539310919262,8.0
2014-11,919,36,2.102974828375286,0.09319811352610785,8.0
2014-12,906,49,2.073226544622426,0.12685298785498014,8.0
2015-01,721,56,1.6498855835240274,0.14497484326283444,8.0
2015-02,714,114,1.633867276887872,0.29512735949934155,7.0
2015-03,852,47,1.9496567505720823,0.12167531488130746,8.0
2015-04,940,2,2.151029748283753,0.0051776729736726585,8.0
2015-05,982,0,2.2471395881006866,0.0,8.0
2015-06,967,0,2.2128146453089244,0.0,8.0
2015-07,846,1,1.9359267734553776,0.0025888364868363292,8.0
2015-08,204,114,0.4668192219679634,0.29512735949934155,5.0
2015-09,55,679,0.12585812356979406,1.7578199745618674,0.0
2015-10,34,796,0.07780320366132723,2.060713843521718,0.0
2015-11,56,626,0.12814645308924486,1.6206116407595421,0.0
2015-12,207,434,0.47368421052631576,1.1235550352869668,3.0
2016-01,374,301,0.8558352402745996,0.7792397825377351,4.0
2016-02,47,358,0.10755148741418764,0.9268034622874058,1.0
2016-03,34,912,0.07780320366132723,2.3610188759947324,0.0
2016-04,67,722,0.15331807780320367,1.8691399434958296,0.0
2016-05,186,619,0.425629290617849,1.6024897853516877,2.0
2016-06,131,659,0.2997711670480549,1.706043244825141,1.0
2016-07,135,691,0.30892448512585813,1.7888860124039034,1.0
2016-08,176,601,0.40274599542334094,1.5558907285886339,2.0
2016-09,274,473,0.6270022883295194,1.2245196582735838,3.0
2016-10,352,423,0.8054919908466819,1.0950778339317673,4.0
2016-11,398,423,0.9107551487414187,1.0950778339317673,4.0
2016-12,483,312,1.105263157894737,0.8077169838929347,5.0
2017-01,390,328,0.8924485125858124,0.849138367682316,4.0
2017-02,311,498,0.7116704805491991,1.289240570444492,3.0
2017-03,373,481,0.8535469107551488,1.2452303501682744,4.0
2017-04,332,449,0.7597254004576659,1.1623875825895118,4.0
2017-05,218,595,0.4988558352402746,1.5403577096676158,2.0
2017-06,134,743,0.30663615560640733,1.9235055097193925,1.0
2017-07,134,755,0.30663615560640733,1.9545715475614285,1.0
2017-08,191,650,0.43707093821510296,1.6827437164436139,2.0
